Komoditas;Tahun;Bulan;Harga
Ayam Ras (Rp/Ekor Hidup);2020;September;Rp18.158
Telur Ayam Ras (Rp/Kg);2020;September;Rp20.126
GKP Tingkat Petani (Rp/Kg);2020;Oktober;Rp4.609
GKP Tingkat Penggilingan (Rp/Kg);2020;Oktober;Rp4.825
GKG Tingkat Penggilingan (Rp/Kg);2020;Oktober;Rp5.541
Beras Medium Tk. Penggilingan (Rp/Kg);2020;Oktober;Rp9.229
Beras Premium Tk. Penggilingan (Rp/Kg);2020;Oktober;Rp10.384
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2020;Oktober;Rp3.524
Kedelai Biji Kering Tk. Petani (Rp/Kg);2020;Oktober;Rp6.587
Cabai Merah Keriting Tk.Petani (rp/Kg);2020;Oktober;Rp26.122
Cabai Rawit Merah Tk. Petani (Rp/Kg);2020;Oktober;Rp20.328
Bawang Merah Tk. Petani (Rp/Kg);2020;Oktober;Rp21.166
Sapi Hidup (Rp/kg Berat Hidup);2020;Oktober;Rp48.585
Ayam Ras (Rp/Ekor Hidup);2020;Oktober;Rp19.249
Telur Ayam Ras (Rp/Kg);2020;Oktober;Rp19.884
GKP Tingkat Petani (Rp/Kg);2020;November;Rp4.568
GKP Tingkat Penggilingan (Rp/Kg);2020;November;Rp4.793
GKG Tingkat Penggilingan (Rp/Kg);2020;November;Rp5.523
Beras Medium Tk. Penggilingan (Rp/Kg);2020;November;Rp9.212
Beras Premium Tk. Penggilingan (Rp/Kg);2020;November;Rp10.364
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2020;November;Rp3.595
Kedelai Biji Kering Tk. Petani (Rp/Kg);2020;November;Rp6.556
Cabai Merah Keriting Tk.Petani (rp/Kg);2020;November;Rp26.586
Cabai Rawit Merah Tk. Petani (Rp/Kg);2020;November;Rp23.319
Bawang Merah Tk. Petani (Rp/Kg);2020;November;Rp23.572
Sapi Hidup (Rp/kg Berat Hidup);2020;November;Rp48.805
Ayam Ras (Rp/Ekor Hidup);2020;November;Rp22.031
Telur Ayam Ras (Rp/Kg);2020;November;Rp20.850
GKP Tingkat Petani (Rp/Kg);2020;Desember;Rp4.601
GKP Tingkat Penggilingan (Rp/Kg);2020;Desember;Rp4.826
GKG Tingkat Penggilingan (Rp/Kg);2020;Desember;Rp5.547
Beras Medium Tk. Penggilingan (Rp/Kg);2020;Desember;Rp9.218
Beras Premium Tk. Penggilingan (Rp/Kg);2020;Desember;Rp10.365
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2020;Desember;Rp3.696
Kedelai Biji Kering Tk. Petani (Rp/Kg);2020;Desember;Rp6.540
Cabai Merah Keriting Tk.Petani (rp/Kg);2020;Desember;Rp35.140
Cabai Rawit Merah Tk. Petani (Rp/Kg);2020;Desember;Rp32.903
Bawang Merah Tk. Petani (Rp/Kg);2020;Desember;Rp22.881
Sapi Hidup (Rp/kg Berat Hidup);2020;Desember;Rp49.349
Ayam Ras (Rp/Ekor Hidup);2020;Desember;Rp22.276
Telur Ayam Ras (Rp/Kg);2020;Desember;Rp22.715
GKP Tingkat Petani (Rp/Kg);2021;Januari;Rp4.521
GKP Tingkat Penggilingan (Rp/Kg);2021;Januari;Rp4.799
GKG Tingkat Penggilingan (Rp/Kg);2021;Januari;Rp5.381
Beras Medium Tk. Penggilingan (Rp/Kg);2021;Januari;Rp9.219
Beras Premium Tk. Penggilingan (Rp/Kg);2021;Januari;Rp10.287
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2021;Januari;Rp3.766
Kedelai Biji Kering Tk. Petani (Rp/Kg);2021;Januari;Rp6.986
Cabai Merah Keriting Tk.Petani (rp/Kg);2021;Januari;Rp35.785
Cabai Rawit Merah Tk. Petani (Rp/Kg);2021;Januari;Rp46.633
Bawang Merah Tk. Petani (Rp/Kg);2021;Januari;Rp19.196
Sapi Hidup (Rp/kg Berat Hidup);2021;Januari;Rp50.467
Ayam Ras (Rp/Ekor Hidup);2021;Januari;Rp25.142
Telur Ayam Ras (Rp/Kg);2021;Januari;Rp21.550
GKP Tingkat Petani (Rp/Kg);2021;Februari;Rp4.577
GKP Tingkat Penggilingan (Rp/Kg);2021;Februari;Rp4.703
GKG Tingkat Penggilingan (Rp/Kg);2021;Februari;Rp5.437
Beras Medium Tk. Penggilingan (Rp/Kg);2021;Februari;Rp9.254
Beras Premium Tk. Penggilingan (Rp/Kg);2021;Februari;Rp10.227
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2021;Februari;Rp3.743
Kedelai Biji Kering Tk. Petani (Rp/Kg);2021;Februari;Rp6.569
Cabai Merah Keriting Tk.Petani (rp/Kg);2021;Februari;Rp33.250
Cabai Rawit Merah Tk. Petani (Rp/Kg);2021;Februari;Rp54.257
Bawang Merah Tk. Petani (Rp/Kg);2021;Februari;Rp19.232
Sapi Hidup (Rp/kg Berat Hidup);2021;Februari;Rp50.620
Ayam Ras (Rp/Ekor Hidup);2021;Februari;Rp24.251
Telur Ayam Ras (Rp/Kg);2021;Februari;Rp20.632
GKP Tingkat Petani (Rp/Kg);2021;Maret;Rp4.401
GKP Tingkat Penggilingan (Rp/Kg);2021;Maret;Rp4.606
GKG Tingkat Penggilingan (Rp/Kg);2021;Maret;Rp5.360
Beras Medium Tk. Penggilingan (Rp/Kg);2021;Maret;Rp9.015
Beras Premium Tk. Penggilingan (Rp/Kg);2021;Maret;Rp10.094
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2021;Maret;Rp3.821
Kedelai Biji Kering Tk. Petani (Rp/Kg);2021;Maret;Rp7.544
Cabai Merah Keriting Tk.Petani (rp/Kg);2021;Maret;Rp36.571
Cabai Rawit Merah Tk. Petani (Rp/Kg);2021;Maret;Rp65.897
Bawang Merah Tk. Petani (Rp/Kg);2021;Maret;Rp20.759
Sapi Hidup (Rp/kg Berat Hidup);2021;Maret;Rp51.243
Ayam Ras (Rp/Ekor Hidup);2021;Maret;Rp22.566
Telur Ayam Ras (Rp/Kg);2021;Maret;Rp20.241
GKP Tingkat Petani (Rp/Kg);2021;April;Rp4.266
GKP Tingkat Penggilingan (Rp/Kg);2021;April;Rp4.489
GKG Tingkat Penggilingan (Rp/Kg);2021;April;Rp5.242
Beras Medium Tk. Penggilingan (Rp/Kg);2021;April;Rp8.931
Beras Premium Tk. Penggilingan (Rp/Kg);2021;April;Rp10.011
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2021;April;Rp4.175
Kedelai Biji Kering Tk. Petani (Rp/Kg);2021;April;Rp7.595
Cabai Merah Keriting Tk.Petani (rp/Kg);2021;April;Rp31.457
Cabai Rawit Merah Tk. Petani (Rp/Kg);2021;April;Rp53.037
Bawang Merah Tk. Petani (Rp/Kg);2021;April;Rp19.855
Sapi Hidup (Rp/kg Berat Hidup);2021;April;Rp51.331
Ayam Ras (Rp/Ekor Hidup);2021;April;Rp23.226
Telur Ayam Ras (Rp/Kg);2021;April;Rp21.026
GKP Tingkat Petani (Rp/Kg);2021;Mei;Rp4.241
